transaction_id,order_date,product_category,product_id, product_name,units_sold,unit_price,total_revenue,region ,payment_method
10001,10/8/2024,Home Appliances,179,Dyson V11 Vacuum,4,213.35,853.4,Europe,Debit Card
10002,3/20/2024,Books,105,Harry Potter ,4,25.13,100.52,Europe,Debit Card
10003,7/29/2024,Books,153,Atomic Habits,5,774.46,3872.3,Asia,Debit Card
10004,12/24/2024,Books,120,Harry Potter,1,40.47,40.47,Europe,Credit Card
10005,3/31/2024,Clothing,187,Nike Air Max,4,2459.19,9836.76,Europe,Credit Card
10006,6/1/2024,Beauty Products,110,Dove Soap Pack,4,1784.85,7139.4,Asia,Credit Card
10007,7/14/2024,Beauty Products,181,Dove Soap Pack,5,604.37,3021.85,Europe,PayPal
10008,7/13/2024,Books,150,The Da Vinci Code,5,434.84,2174.2,Europe,Debit Card
10009,6/17/2024,Clothing,159,Nike Air Max,2,952.26,1904.52,Asia,Credit Card
10010,3/27/2024,Clothing,112,Adidas Hoodie,3,1772.07,5316.21,Asia,Debit Card
10011,5/16/2024,Clothing,107,Adidas Hoodie,1,322.49,322.49,North America,PayPal
10012,5/26/2024,Beauty Products,165,Neutrogena Skincare Set,2,47.77,95.54,Europe,PayPal
10013,8/27/2024,Home Appliances,193,Blueair Classic 480i,5,660.89,3304.45,North America,Debit Card
10014,10/9/2024,Books,161,Atomic Habits,5,918.75,4593.75,North America,Credit Card
10015,6/2/2024,Books,199,Atomic Habits,2,1015.66,2031.32,Europe,Credit Card
10016,12/3/2024,Books,165,Harry Potter,1,789.64,789.64,North America,Debit Card
10017,11/3/2024,Electronics,124,Samsung Galaxy S23,3,2260.25,6780.75,Europe,Credit Card
10018,5/27/2024,Beauty Products,142,Dove Soap Pack,2,417.72,835.44,North America,Credit Card
10019,5/1/2024,Electronics,157,iPhone 14 Pro,1,2306.71,2306.71,North America,Debit Card
10020,3/22/2024,Beauty Products,118,L'Oreal Shampoo,2,1386.09,2772.18,North America,PayPal
10021,8/26/2024,Electronics,149,iPhone 14 Pro,4,2078.12,8312.48,Asia,Debit Card
10022,2/29/2024,Home Appliances,109,Philips Air Fryer,2,1517.34,3034.68,Europe,PayPal
10023,12/7/2024,Clothing,168,Levi's 501 Jeans,5,153.04,765.2,Asia,Credit Card
10024,4/2/2024,Clothing,127,Nike Air Max,5,2050.79,10253.95,Europe,PayPal
10025,7/16/2024,Clothing,198,Levi's 501 Jeans,2,1067.92,2135.84,North America,Credit Card
10026,7/13/2024,Home Appliances,151,Philips Air Fryer,1,670.94,670.94,Europe,Debit Card
10027,4/8/2024,Beauty Products,180,Neutrogena Skincare Set,4,2401.34,9605.36,Europe,Credit Card
10028,8/11/2024,Beauty Products,131,L'Oreal Shampoo,1,1981.26,1981.26,Asia,Debit Card
10029,10/26/2024,Clothing,185,Adidas Hoodie,1,184.06,184.06,Europe,Debit Card
10030,3/25/2024,Sports,142,Wilson Evolution Basketball,5,2049.46,10247.3,Europe,Debit Card
10031,11/21/2024,Beauty Products,193,Dove Soap Pack,2,2401.91,4803.82,Europe,Credit Card
10032,10/26/2024,Sports,119,Adidas Tennis Racket,4,831.69,3326.76,Asia,Debit Card
10033,2/9/2024,Home Appliances,103,Philips Air Fryer,4,1878.33,7513.32,Europe,Credit Card
10034,4/12/2024,Clothing,167,Adidas Hoodie,4,108.19,432.76,North America,Credit Card
10035,11/9/2024,Beauty Products,112,Neutrogena Skincare Set,1,2254.45,2254.45,Asia,PayPal
10036,1/10/2024,Books,184,The Da Vinci Code,3,861.1,2583.3,North America,PayPal
10037,6/21/2024,Beauty Products,105,L'Oreal Shampoo,4,1800.76,7203.04,Asia,Debit Card
10038,12/27/2024,Books,194,The Da Vinci Code,3,2333.96,7001.88,North America,Debit Card
10039,12/14/2024,Clothing,199,Nike Air Max,1,2219.52,2219.52,North America,Debit Card
10040,4/15/2024,Beauty Products,172,L'Oreal Shampoo,4,461.75,1847,Europe,PayPal
10041,10/10/2024,Beauty Products,188,Dove Soap Pack,4,1129.68,4518.72,North America,PayPal
10042,10/20/2024,Beauty Products,163,L'Oreal Shampoo,5,1755.83,8779.15,Asia,Debit Card
10043,7/26/2024,Books,197,Harry Potter,5,1942.68,9713.4,Asia,Debit Card
10044,12/11/2024,Clothing,192,Levi's 501 Jeans,4,2104.87,8419.48,Asia,Credit Card
10045,7/24/2024,Electronics,147,iPhone 14 Pro,5,1765.05,8825.25,North America,Debit Card
10046,12/16/2024,Clothing,122,Nike Air Max,1,1892.54,1892.54,Asia,Credit Card
10047,4/28/2024,Beauty Products,139,Neutrogena Skincare Set,3,251.59,754.77,Europe,Credit Card
10048,2/8/2024,Beauty Products,161,Dove Soap Pack,5,2045.3,10226.5,Asia,Credit Card
10049,6/13/2024,Sports,155,Wilson Evolution Basketball,3,2334.98,7004.94,Europe,Debit Card
10050,4/19/2024,Electronics,170,MacBook Pro 16-inch,2,300.12,600.24,Asia,PayPal
10051,2/24/2024,Electronics,141,Sony WH-1000XM5,1,1916.13,1916.13,Europe,Credit Card
10052,12/15/2024,Beauty Products,111,L'Oreal Shampoo,4,1940.08,7760.32,Asia,PayPal
10053,11/22/2024,Electronics,169,iPhone 14 Pro,5,552.51,2762.55,Asia,Credit Card
10054,12/6/2024,Electronics,102,MacBook Pro 16-inch,3,34.1,102.3,North America,Credit Card
10055,1/21/2024,Electronics,139,iPhone 14 Pro,5,1692.43,8462.15,Europe,Debit Card
10056,5/7/2024,Electronics,159,iPhone 14 Pro,1,1597.21,1597.21,North America,Debit Card
10057,3/17/2024,Electronics,200,Sony WH-1000XM5,2,1659.34,3318.68,Asia,PayPal
10058,5/11/2024,Electronics,103,MacBook Pro 16-inch,5,1636.78,8183.9,Europe,Credit Card
10059,5/21/2024,Home Appliances,159,Blueair Classic 480i,1,1457.16,1457.16,Asia,Debit Card
10060,10/5/2024,Books,142,The Da Vinci Code,1,668.28,668.28,North America,Debit Card
10061,8/10/2024,Electronics,178,Samsung Galaxy S23,1,2147.78,2147.78,North America,Credit Card
10062,7/21/2024,Books,110,Atomic Habits,1,1817.35,1817.35,Asia,Credit Card
10063,12/12/2024,Home Appliances,169,Dyson V11 Vacuum,4,1941.92,7767.68,Asia,PayPal
10064,7/11/2024,Beauty Products,151,Dove Soap Pack,3,1923.42,5770.26,Asia,Debit Card
10065,2/28/2024,Sports,104,Wilson Evolution Basketball,4,1863.4,7453.6,Asia,Debit Card
10066,1/2/2024,Beauty Products,117,Neutrogena Skincare Set,2,815,1630,Europe,PayPal
10067,11/27/2024,Beauty Products,178,L'Oreal Shampoo,4,1204.94,4819.76,Europe,Credit Card
10068,10/14/2024,Books,142,Harry Potter,3,692.18,2076.54,North America,Credit Card
10069,10/10/2024,Sports,193,Nike Football,5,437.06,2185.3,Asia,PayPal
10070,3/19/2024,Sports,196,Adidas Tennis Racket,5,1959.03,9795.15,Europe,Credit Card
10071,5/24/2024,Books,170,Atomic Habits,2,1746.74,3493.48,Asia,Credit Card
10072,4/8/2024,Sports,107,Nike Football,4,2164.16,8656.64,Europe,PayPal
10073,3/9/2024,Electronics,189,Sony WH-1000XM5,5,221.54,1107.7,Asia,Credit Card
10074,6/6/2024,Electronics,118,Sony WH-1000XM5,2,2266.43,4532.86,Asia,Debit Card
10075,3/26/2024,Books,159,Atomic Habits,3,2092.93,6278.79,Asia,Credit Card
10076,12/6/2024,Electronics,176,Samsung Galaxy S23,5,2026.31,10131.55,Europe,PayPal
10077,10/26/2024,Books,120,The Da Vinci Code,2,117.13,234.26,Europe,PayPal
10078,2/8/2024,Electronics,195,Sony WH-1000XM5,4,1572.54,6290.16,Asia,PayPal
10079,12/27/2024,Beauty Products,109,Neutrogena Skincare Set,1,876.57,876.57,Asia,Debit Card
10080,4/11/2024,Electronics,166,iPhone 14 Pro,1,900.9,900.9,North America,Credit Card
10081,3/16/2024,Sports,132,Nike Football,4,455.83,1823.32,North America,Debit Card
10082,8/13/2024,Books,180,Atomic Habits,4,447.89,1791.56,North America,Credit Card
10083,7/27/2024,Clothing,181,Adidas Hoodie,5,1443.32,7216.6,Asia,PayPal
10084,3/8/2024,Home Appliances,140,Philips Air Fryer,2,1199.66,2399.32,Europe,PayPal
10085,3/30/2024,Electronics,116,Samsung Galaxy S23,2,106.95,213.9,Europe,Debit Card
10086,10/3/2024,Clothing,161,Levi's 501 Jeans,5,2271.35,11356.75,Asia,PayPal
10087,1/10/2024,Clothing,118,Adidas Hoodie,3,2254.56,6763.68,North America,Debit Card
10088,12/7/2024,Sports,170,Adidas Tennis Racket,5,1802.4,9012,North America,PayPal
10089,1/10/2024,Home Appliances,107,Blueair Classic 480i,2,1958.63,3917.26,Europe,Credit Card
10090,10/25/2024,Electronics,107,MacBook Pro 16-inch,3,12.91,38.73,Asia,Debit Card
10091,6/20/2024,Beauty Products,132,Neutrogena Skincare Set,2,50.49,100.98,North America,PayPal
10092,10/26/2024,Electronics,151,MacBook Pro 16-inch,1,1081.02,1081.02,Europe,PayPal
10093,12/3/2024,Home Appliances,165,Dyson V11 Vacuum,2,976.1,1952.2,Europe,PayPal
10094,12/12/2024,Clothing,122,Nike Air Max,5,447.8,2239,Europe,PayPal
10095,2/15/2024,Sports,121,Adidas Tennis Racket,4,1524.8,6099.2,Asia,Credit Card
10096,12/18/2024,Home Appliances,108,Blueair Classic 480i,1,2242.61,2242.61,North America,PayPal
10097,2/28/2024,Home Appliances,153,Blueair Classic 480i,2,717.36,1434.72,Asia,Credit Card
10098,2/11/2024,Home Appliances,125,Philips Air Fryer,4,945.49,3781.96,Europe,PayPal
10099,5/23/2024,Home Appliances,122,Blueair Classic 480i,2,2179.89,4359.78,Europe,PayPal
10100,1/13/2024,Home Appliances,109,Blueair Classic 480i,1,1313.71,1313.71,Europe,PayPal
10101,12/5/2024,Home Appliances,170,Dyson V11 Vacuum,5,633.62,3168.1,Asia,Credit Card
10102,1/23/2024,Books,186,Atomic Habits,2,622.04,1244.08,Asia,Credit Card
10103,4/20/2024,Beauty Products,160,L'Oreal Shampoo,2,2350.62,4701.24,North America,PayPal
10104,9/17/2024,Clothing,163,Nike Air Max,4,1817.5,7270,Asia,Debit Card
10105,10/20/2024,Books,182,The Da Vinci Code,4,899.5,3598,Asia,Credit Card
10106,5/23/2024,Electronics,197,Sony WH-1000XM5,3,2103.42,6310.26,Asia,PayPal
10107,9/6/2024,Home Appliances,112,Philips Air Fryer,3,724.47,2173.41,Asia,Credit Card
10108,12/8/2024,Books,159,Atomic Habits,3,1559.64,4678.92,Europe,Credit Card
10109,2/19/2024,Electronics,102,Samsung Galaxy S23,5,1473.22,7366.1,Asia,Credit Card
10110,1/17/2024,Home Appliances,194,Dyson V11 Vacuum,5,1286.67,6433.35,Europe,PayPal
10111,9/10/2024,Books,182,Atomic Habits,3,1259.23,3777.69,Asia,Credit Card
10112,5/3/2024,Clothing,185,Levi's 501 Jeans,2,1710.38,3420.76,Europe,PayPal
10113,10/29/2024,Sports,121,Nike Football,1,1812.47,1812.47,North America,PayPal
10114,1/28/2024,Electronics,174,Samsung Galaxy S23,3,666.92,2000.76,Asia,PayPal
10115,12/22/2024,Beauty Products,106,Dove Soap Pack,1,611.37,611.37,Europe,Debit Card
10116,11/12/2024,Home Appliances,112,Blueair Classic 480i,4,1392.5,5570,Europe,Credit Card
10117,10/16/2024,Clothing,174,Adidas Hoodie,1,454.33,454.33,Europe,Debit Card
10118,11/27/2024,Sports,110,Nike Football,4,379.14,1516.56,Asia,Debit Card
10119,7/23/2024,Books,128,The Da Vinci Code,5,971.28,4856.4,Asia,PayPal
10120,5/26/2024,Electronics,109,Samsung Galaxy S23,1,2154.76,2154.76,North America,Credit Card
10121,12/24/2024,Electronics,183,Samsung Galaxy S23,5,2253.71,11268.55,Asia,Credit Card
10122,8/19/2024,Books,181,The Da Vinci Code,4,2353.36,9413.44,Europe,Debit Card
10123,12/25/2024,Home Appliances,187,Blueair Classic 480i,2,2150.79,4301.58,Asia,Debit Card
10124,5/24/2024,Beauty Products,179,Neutrogena Skincare Set,2,1690.86,3381.72,North America,Credit Card
10125,8/28/2024,Books,148,The Da Vinci Code,1,575.25,575.25,North America,PayPal
10126,12/9/2024,Clothing,187,Adidas Hoodie,1,1981.2,1981.2,Asia,Credit Card
10127,1/1/2024,Sports,190,Adidas Tennis Racket,1,484.12,484.12,North America,PayPal
10128,1/14/2024,Books,108,Harry Potter,3,1384.86,4154.58,Asia,PayPal
10129,1/4/2024,Sports,106,Wilson Evolution Basketball,2,410.43,820.86,Asia,Credit Card
10130,4/30/2024,Home Appliances,141,Dyson V11 Vacuum,4,1845.43,7381.72,North America,Credit Card
10131,10/17/2024,Home Appliances,158,Blueair Classic 480i,3,347.78,1043.34,Asia,Credit Card
10132,1/31/2024,Beauty Products,131,Dove Soap Pack,5,242.69,1213.45,North America,PayPal
10133,7/9/2024,Books,101,The Da Vinci Code,3,567.58,1702.74,North America,PayPal
10134,7/23/2024,Home Appliances,148,Dyson V11 Vacuum,2,2463.61,4927.22,North America,Debit Card
10135,10/17/2024,Beauty Products,109,L'Oreal Shampoo,5,972.29,4861.45,Europe,Debit Card
10136,2/4/2024,Beauty Products,130,Dove Soap Pack,1,2149.71,2149.71,Europe,Credit Card
10137,3/17/2024,Books,142,The Da Vinci Code,3,687.01,2061.03,Asia,Debit Card
10138,5/4/2024,Home Appliances,150,Philips Air Fryer,5,146.87,734.35,North America,PayPal
10139,1/7/2024,Sports,133,Nike Football,3,1557.94,4673.82,North America,PayPal
10140,11/4/2024,Books,200,Atomic Habits,4,2028.44,8113.76,North America,PayPal
10141,10/8/2024,Sports,142,Adidas Tennis Racket,1,2261,2261,North America,Debit Card
10142,9/16/2024,Books,124,The Da Vinci Code,5,1458.66,7293.3,Asia,Debit Card
10143,9/8/2024,Clothing,164,Adidas Hoodie,2,1879.32,3758.64,North America,PayPal
10144,1/26/2024,Home Appliances,160,Philips Air Fryer,1,73.66,73.66,North America,PayPal
10145,3/22/2024,Sports,121,Nike Football,1,231.31,231.31,North America,Credit Card
10146,9/1/2024,Beauty Products,108,Dove Soap Pack,5,2248.21,11241.05,Asia,PayPal
10147,5/14/2024,Electronics,144,MacBook Pro 16-inch,3,114.71,344.13,Asia,Credit Card
10148,8/16/2024,Home Appliances,103,Philips Air Fryer,1,838.56,838.56,Europe,Credit Card
10149,12/2/2024,Clothing,101,Nike Air Max,5,437.99,2189.95,Asia,PayPal
10150,11/13/2024,Beauty Products,190,Neutrogena Skincare Set,3,1842.4,5527.2,North America,Debit Card
10151,6/8/2024,Sports,153,Nike Football,5,895.98,4479.9,North America,Debit Card
10152,5/19/2024,Home Appliances,111,Philips Air Fryer,5,2244.78,11223.9,Asia,PayPal
10153,3/29/2024,Beauty Products,104,L'Oreal Shampoo,4,1529.98,6119.92,North America,Credit Card
10154,8/9/2024,Home Appliances,172,Philips Air Fryer,3,386.58,1159.74,Europe,Credit Card
10155,5/30/2024,Home Appliances,134,Philips Air Fryer,2,1693.47,3386.94,Europe,Credit Card
10156,7/16/2024,Sports,157,Nike Football,5,282.74,1413.7,Asia,Debit Card
10157,5/16/2024,Clothing,178,Levi's 501 Jeans,3,2109.23,6327.69,Asia,Credit Card
10158,6/1/2024,Books,192,Harry Potter,4,714.76,2859.04,Europe,Credit Card
10159,4/25/2024,Books,151,The Da Vinci Code,4,1186.6,4746.4,North America,Credit Card
10160,6/30/2024,Sports,150,Wilson Evolution Basketball,5,742.2,3711,North America,Debit Card
10161,8/20/2024,Home Appliances,120,Philips Air Fryer,2,1012.04,2024.08,North America,Debit Card
10162,5/26/2024,Electronics,185,MacBook Pro 16-inch,1,1602.54,1602.54,Asia,Credit Card
10163,7/18/2024,Books,169,Atomic Habits,3,2088.38,6265.14,Asia,Credit Card
10164,11/10/2024,Electronics,101,iPhone 14 Pro,3,2174.49,6523.47,Europe,Debit Card
10165,8/30/2024,Electronics,175,Samsung Galaxy S23,5,948.48,4742.4,Europe,Credit Card
10166,2/23/2024,Clothing,159,Adidas Hoodie,2,153.76,307.52,North America,Credit Card
10167,11/30/2024,Beauty Products,108,Neutrogena Skincare Set,5,1079.08,5395.4,North America,Debit Card
10168,4/21/2024,Beauty Products,120,Dove Soap Pack,4,1617.21,6468.84,Europe,Debit Card
10169,1/28/2024,Home Appliances,117,Philips Air Fryer,2,2255.87,4511.74,North America,PayPal
10170,5/16/2024,Home Appliances,191,Philips Air Fryer,5,799.9,3999.5,Asia,PayPal
10171,10/22/2024,Books,145,The Da Vinci Code,3,525.69,1577.07,Europe,PayPal
10172,11/17/2024,Home Appliances,146,Dyson V11 Vacuum,4,2337.81,9351.24,North America,PayPal
10173,11/21/2024,Home Appliances,182,Blueair Classic 480i,3,2270.39,6811.17,Europe,Debit Card
10174,10/23/2024,Books,151,The Da Vinci Code,3,58.67,176.01,North America,Debit Card
10175,7/9/2024,Clothing,137,Adidas Hoodie,3,1073.81,3221.43,Asia,Credit Card
10176,9/11/2024,Clothing,137,Adidas Hoodie,4,655.73,2622.92,North America,Debit Card
10177,10/15/2024,Sports,136,Adidas Tennis Racket,2,2316.45,4632.9,Asia,PayPal
10178,11/8/2024,Electronics,103,MacBook Pro 16-inch,5,1200.93,6004.65,Asia,PayPal
10179,9/12/2024,Electronics,169,Sony WH-1000XM5,5,825.42,4127.1,North America,Debit Card
10180,1/26/2024,Sports,143,Nike Football,1,1190.63,1190.63,Asia,Credit Card
10181,11/29/2024,Books,137,The Da Vinci Code,4,2263.25,9053,Asia,Credit Card
10182,12/29/2024,Clothing,162,Levi's 501 Jeans,1,1014.8,1014.8,Asia,Credit Card
10183,7/15/2024,Clothing,141,Adidas Hoodie,1,1657.71,1657.71,Asia,PayPal
10184,4/27/2024,Electronics,165,iPhone 14 Pro,3,2180.19,6540.57,Asia,Credit Card
10185,11/22/2024,Home Appliances,154,Blueair Classic 480i,4,1604.78,6419.12,Europe,Credit Card
10186,7/29/2024,Beauty Products,125,Neutrogena Skincare Set,3,1519.23,4557.69,Europe,PayPal
10187,5/2/2024,Beauty Products,120,Dove Soap Pack,2,1717.72,3435.44,Asia,PayPal
10188,3/28/2024,Books,138,The Da Vinci Code,3,1218.14,3654.42,Asia,PayPal
10189,3/27/2024,Home Appliances,100,Philips Air Fryer,4,2070.87,8283.48,Asia,PayPal
10190,2/24/2024,Electronics,105,iPhone 14 Pro,3,2249.2,6747.6,Asia,Credit Card
10191,5/3/2024,Clothing,192,Levi's 501 Jeans,3,2492.45,7477.35,Asia,Debit Card
10192,1/23/2024,Beauty Products,140,Neutrogena Skincare Set,2,1571.01,3142.02,North America,PayPal
10193,8/31/2024,Clothing,144,Levi's 501 Jeans,5,873.17,4365.85,Europe,Debit Card
10194,9/4/2024,Books,165,Atomic Habits,3,1027.74,3083.22,Asia,PayPal
10195,4/23/2024,Books,127,The Da Vinci Code,3,1080.25,3240.75,Asia,PayPal
10196,9/28/2024,Home Appliances,191,Blueair Classic 480i,5,1548.84,7744.2,Asia,PayPal
10197,4/11/2024,Sports,193,Adidas Tennis Racket,5,1987.25,9936.25,Europe,Debit Card
10198,9/19/2024,Electronics,127,Samsung Galaxy S23,4,2275.23,9100.92,Asia,PayPal
10199,7/16/2024,Electronics,159,iPhone 14 Pro,3,116.91,350.73,Europe,Debit Card
10200,8/29/2024,Beauty Products,151,L'Oreal Shampoo,1,190.25,190.25,North America,Debit Card
10201,1/25/2024,Clothing,175,Adidas Hoodie,2,1799.87,3599.74,Europe,Credit Card
10202,7/17/2024,Clothing,196,Levi's 501 Jeans,5,602.02,3010.1,Europe,Credit Card
10203,12/6/2024,Electronics,128,Samsung Galaxy S23,1,896.93,896.93,Europe,Debit Card
10204,3/25/2024,Beauty Products,122,Dove Soap Pack,5,448.19,2240.95,Europe,PayPal
10205,5/10/2024,Beauty Products,190,Dove Soap Pack,5,948.43,4742.15,North America,Credit Card
10206,9/23/2024,Home Appliances,102,Philips Air Fryer,2,321.08,642.16,Europe,Debit Card
10207,12/11/2024,Beauty Products,196,Dove Soap Pack,2,1817.33,3634.66,Europe,Debit Card
10208,7/13/2024,Beauty Products,141,Neutrogena Skincare Set,2,1319.33,2638.66,Europe,Credit Card
10209,4/1/2024,Home Appliances,108,Blueair Classic 480i,5,1986.31,9931.55,North America,PayPal
10210,10/27/2024,Home Appliances,105,Blueair Classic 480i,3,2126.94,6380.82,Asia,PayPal
10211,9/26/2024,Home Appliances,111,Dyson V11 Vacuum,4,172.75,691,Europe,Credit Card
10212,3/5/2024,Clothing,123,Levi's 501 Jeans,2,94.19,188.38,Europe,PayPal
10213,7/14/2024,Home Appliances,184,Dyson V11 Vacuum,1,2217.25,2217.25,Asia,Debit Card
10214,9/3/2024,Home Appliances,127,Dyson V11 Vacuum,5,652.88,3264.4,North America,Credit Card
10215,12/26/2024,Books,189,The Da Vinci Code,2,336.47,672.94,Asia,PayPal
10216,4/19/2024,Clothing,139,Levi's 501 Jeans,5,1168.53,5842.65,Asia,PayPal
10217,11/26/2024,Home Appliances,130,Philips Air Fryer,5,47,235,Europe,Credit Card
10218,3/31/2024,Home Appliances,189,Philips Air Fryer,5,1813.68,9068.4,Europe,Credit Card
10219,6/15/2024,Books,133,Harry Potter,2,2126.21,4252.42,North America,PayPal
10220,8/20/2024,Books,116,Atomic Habits,2,2373.18,4746.36,Asia,Debit Card
10221,10/9/2024,Clothing,137,Adidas Hoodie,3,489.56,1468.68,North America,PayPal
10222,5/14/2024,Beauty Products,175,Neutrogena Skincare Set,1,1702.78,1702.78,North America,Credit Card
10223,12/14/2024,Books,123,Atomic Habits,3,654.04,1962.12,Asia,PayPal
10224,3/29/2024,Electronics,200,Sony WH-1000XM5,5,684.3,3421.5,Europe,Debit Card
10225,5/13/2024,Home Appliances,147,Dyson V11 Vacuum,5,1774.92,8874.6,Europe,Credit Card
10226,8/20/2024,Books,192,Harry Potter,1,574.59,574.59,North America,Credit Card
10227,7/2/2024,Books,135,Harry Potter,4,595.96,2383.84,Europe,Debit Card
10228,4/20/2024,Books,166,Atomic Habits,2,904.2,1808.4,North America,PayPal
10229,8/21/2024,Home Appliances,187,Dyson V11 Vacuum,1,2496.14,2496.14,Europe,Debit Card
10230,11/11/2024,Books,110,Harry Potter,2,1657.04,3314.08,North America,Credit Card
10231,6/1/2024,Books,131,Harry Potter,5,1295.71,6478.55,Asia,PayPal
10232,4/28/2024,Books,108,The Da Vinci Code,5,896.25,4481.25,Asia,Credit Card
10233,9/20/2024,Clothing,173,Adidas Hoodie,5,103.22,516.1,North America,Debit Card
10234,11/18/2024,Beauty Products,100,Neutrogena Skincare Set,1,442.69,442.69,Asia,PayPal
10235,12/21/2024,Sports,103,Adidas Tennis Racket,4,2345.02,9380.08,Europe,Debit Card
10236,1/9/2024,Sports,167,Wilson Evolution Basketball,5,422.81,2114.05,Europe,PayPal
10237,6/6/2024,Books,122,Harry Potter,1,1244.95,1244.95,Europe,PayPal
10238,8/11/2024,Clothing,167,Adidas Hoodie,3,2283.59,6850.77,North America,Credit Card
10239,10/13/2024,Sports,150,Adidas Tennis Racket,3,2037.57,6112.71,Europe,Credit Card
10240,11/28/2024,Electronics,128,iPhone 14 Pro,5,1111.01,5555.05,Europe,PayPal
10241,6/26/2024,Clothing,191,Adidas Hoodie,5,2052.26,10261.3,Europe,PayPal
10242,4/30/2024,Books,185,The Da Vinci Code,2,393.47,786.94,North America,PayPal
10243,6/24/2024,Clothing,108,Levi's 501 Jeans,5,203.4,1017,Asia,Debit Card
10244,3/2/2024,Beauty Products,121,Neutrogena Skincare Set,1,2268.4,2268.4,Europe,PayPal
10245,1/6/2024,Home Appliances,150,Philips Air Fryer,5,554.94,2774.7,Europe,Credit Card
10246,9/16/2024,Books,160,The Da Vinci Code,3,1490.07,4470.21,Europe,PayPal
10247,12/18/2024,Clothing,119,Levi's 501 Jeans,5,1200.77,6003.85,Europe,PayPal
10248,3/14/2024,Sports,167,Wilson Evolution Basketball,4,1184.34,4737.36,Europe,Debit Card
10249,6/5/2024,Electronics,100,Samsung Galaxy S23,4,2396.57,9586.28,North America,Debit Card
